TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
TRPL3;32,07;6,87;8,94;1,18;0,60;59,76;62,57;41,02;5,86;7,03;2,00;0,40;3,67;7,62;-0,72;1,90;13,14;6,72;11,65;0,51;0,47;0,16;15,07;11,59;128.041,59;27,28;3,59;-1,05;18.107.257.946,40
TRPL4;24,53;8,99;6,84;0,90;0,46;59,76;62,57;41,02;4,48;7,03;2,00;0,40;2,81;5,83;-0,55;1,90;13,14;6,72;11,65;0,51;0,47;0,16;15,07;11,59;60.629.317,82;27,28;3,59;-0,80;18.107.257.946,40
TRPN3;0,71;;0,44;0,54;0,40;100,00;71,70;59,29;0,37;-0,36;-0,72;-1,07;0,26;0,59;-6,13;3,61;122,35;90,00;90,82;0,74;0,26;1,52;-0,48;-0,38;;1,31;1,60;0,00;32.162.716,00
TTEN3;10,85;;8,63;1,70;0,82;14,89;6,79;7,71;9,80;10,01;0,21;0,04;0,67;3,68;-2,29;1,52;19,74;9,46;9,54;0,48;0,52;1,23;;;16.538.112,27;6,37;1,26;0,40;5.406.529.469,95
TUPY3;25,40;3,95;8,99;1,12;0,37;17,23;6,88;3,59;4,69;7,57;2,88;0,69;0,32;1,14;-0,95;2,10;12,47;4,08;9,94;0,33;0,67;1,13;22,39;21,58;13.733.922,45;22,67;2,83;-0,43;3.662.108.500,00
TXRX3;9,00;;-1,28;-0,11;0,18;19,35;0,21;-18,70;116,16;968,36;905,70;;0,24;-0,18;-0,34;0,32;-8,34;-14,16;-0,47;-1,70;2,70;0,76;20,12;;1.999,78;-84,48;-7,05;-0,02;20.676.657,60
TXRX4;2,70;;-0,38;-0,03;0,05;19,35;0,21;-18,70;34,85;968,36;905,70;;0,07;-0,05;-0,10;0,32;-8,34;-14,16;-0,47;-1,70;2,70;0,76;20,12;;35.486,09;-84,48;-7,05;-0,01;20.676.657,60
UCAS3;2,63;;12,76;0,88;0,57;34,76;4,03;6,15;19,48;17,28;-2,20;-0,10;0,78;30,94;-0,84;1,06;6,91;4,47;4,06;0,65;0,35;0,73;9,24;;106.571,68;2,98;0,21;-0,20;173.807.137,32
UGPA3;29,20;0,86;15,05;2,56;0,89;6,77;3,25;1,68;7,79;9,63;1,83;0,60;0,25;4,02;-1,77;1,81;17,03;5,94;12,14;0,35;0,64;3,53;12,42;6,56;175.357.454,27;11,39;1,94;0,25;32.569.804.625,60
UNIP3;62,40;5,07;8,36;2,31;1,05;35,74;20,79;13,63;5,48;5,49;-0,22;-0,09;1,14;5,10;-1,83;1,92;27,61;12,51;15,50;0,45;0,54;0,92;19,21;20,70;496.262,50;27,04;7,47;-0,14;6.755.520.192,75
UNIP5;71,00;5,00;9,51;2,63;1,19;35,74;20,79;13,63;6,23;5,49;-0,22;-0,09;1,30;5,80;-2,08;1,92;27,61;12,51;15,50;0,45;0,54;0,92;19,21;20,70;26.816,60;27,04;7,47;-0,16;6.755.520.192,75
UNIP6;66,45;5,24;8,90;2,46;1,11;35,74;20,79;13,63;5,83;5,49;-0,22;-0,09;1,21;5,43;-1,95;1,92;27,61;12,51;15,50;0,45;0,54;0,92;19,21;20,70;10.855.019,27;27,04;7,47;-0,15;6.755.520.192,75
USIM3;10,36;2,88;-35,79;0,55;0,32;8,47;-2,09;-1,27;-21,77;-22,66;-0,58;0,01;0,46;0,97;-0,61;3,43;-1,55;-0,90;-2,06;0,58;0,35;0,71;24,78;;12.131.011,95;18,71;-0,29;0,33;13.168.157.823,04
USIM5;10,70;3,07;-36,97;0,57;0,33;8,47;-2,09;-1,27;-22,48;-22,66;-0,58;0,01;0,47;1,00;-0,63;3,43;-1,55;-0,90;-2,06;0,58;0,35;0,71;24,78;;151.268.509,91;18,71;-0,29;0,34;13.168.157.823,04
USIM6;14,62;2,25;-50,51;0,78;0,46;8,47;-2,09;-1,27;-30,72;-22,66;-0,58;0,01;0,64;1,37;-0,86;3,43;-1,55;-0,90;-2,06;0,58;0,35;0,71;24,78;;5.824,00;18,71;-0,29;0,47;13.168.157.823,04
VALE3;66,73;9,11;6,37;1,59;0,68;40,12;31,07;23,03;4,73;5,51;0,78;0,26;1,47;58,79;-0,81;1,08;24,99;10,66;21,26;0,43;0,56;0,46;15,85;21,94;1.726.553.409,77;41,90;10,47;-0,11;302.887.975.813,40
VAMO3;8,40;4,01;14,36;1,90;0,48;44,40;34,31;10,72;4,49;8,72;4,23;1,79;1,54;3,27;-0,68;2,03;13,24;3,36;13,27;0,25;0,75;0,31;64,03;51,58;54.602.955,50;4,42;0,58;0,68;9.276.326.379,60
VBBR3;26,56;3,14;15,21;2,28;0,76;4,58;2,47;1,24;7,62;9,98;2,36;0,71;0,19;2,45;-1,65;2,31;15,01;4,97;11,75;0,33;0,67;4,01;16,50;12,07;206.274.573,41;11,64;1,75;7,78;30.942.400.000,00
VITT3;7,22;1,31;9,51;1,64;1,11;37,83;15,21;14,38;8,98;10,16;1,18;0,22;1,37;2,83;-2,96;2,67;17,27;11,65;13,41;0,67;0,33;0,81;;;4.130.332,00;4,40;0,76;-0,38;1.015.486.552,54
VIVA3;31,62;1,15;19,51;3,98;2,47;69,55;21,53;18,65;16,90;17,05;0,15;0,04;3,64;6,46;-5,79;3,01;20,40;12,67;19,88;0,62;0,38;0,68;;;66.823.250,18;7,95;1,62;1,22;7.468.573.455,78
VIVR3;3,07;;-0,82;4,20;0,28;24,20;-125,27;-123,97;-0,81;-0,75;0,05;-0,28;1,01;13,68;-0,53;1,04;-514,44;-33,76;-264,18;0,07;0,93;0,27;83,05;;710.174,59;0,73;-3,76;0,00;83.954.765,03
VIVT3;52,50;3,80;17,81;1,25;0,72;42,85;14,76;9,61;11,60;13,36;1,76;0,19;1,71;-52,82;-0,86;0,92;7,03;4,06;7,74;0,58;0,42;0,42;2,14;1,12;128.155.104,18;41,92;2,95;-1,63;86.760.888.900,00
VIVT4;45,34;;15,38;1,08;0,62;42,85;14,76;9,61;10,02;13,36;1,76;0,19;1,48;-45,62;-0,74;0,92;7,03;4,06;7,74;0,58;0,42;0,42;2,14;1,12;;41,92;2,95;-1,41;86.760.888.900,00
VLID3;18,56;5,16;7,50;1,12;0,57;38,84;19,36;10,32;4,00;4,74;0,74;0,21;0,77;2,25;-1,14;2,00;14,90;7,56;14,76;0,51;0,48;0,73;3,60;48,87;8.281.712,05;16,60;2,47;0,01;1.518.883.120,00
VSPT3;4,99;;-0,32;0,37;0,11;7,78;-44,27;-67,63;-0,49;-1,03;-0,54;0,41;0,22;-2,01;-0,13;0,75;-116,54;-33,96;-62,87;0,29;0,71;0,50;7,49;;;13,44;-15,66;0,00;712.610.842,16
VSPT4;0,00;;0,00;0,00;0,00;7,78;-44,27;-67,63;0,00;-1,03;-0,54;0,41;0,00;0,00;0,00;0,75;-116,54;-33,96;-62,87;0,29;0,71;0,50;7,49;;;13,44;-15,66;0,00;712.610.842,16
VSTE3;14,49;0,80;6,91;1,60;0,98;64,99;19,07;21,51;7,80;9,04;1,24;0,25;1,49;9,24;-1,44;1,48;23,13;14,12;7,46;0,61;0,39;0,66;-3,13;-10,77;53.067,50;9,07;2,10;-0,05;1.643.556.128,76
VULC3;19,13;11,94;9,25;2,63;1,87;40,55;19,67;20,41;9,60;9,62;0,02;0,01;1,89;3,44;-6,24;4,39;28,43;20,16;21,21;0,71;0,29;0,99;14,97;24,47;21.360.750,50;7,27;2,07;0,14;5.222.800.747,72
VVAR11;14,58;;-0,78;0,31;0,04;28,99;-0,55;-5,91;-8,30;-47,59;-41,99;1,58;0,05;-0,29;-0,07;0,74;-40,32;-5,54;-11,42;0,14;0,86;0,94;3,76;;;46,63;-18,80;0,00;935.622.614,16
VVAR4;95,68;;-5,09;2,05;0,28;28,99;-0,55;-5,91;-54,48;-47,59;-41,99;1,58;0,30;-1,92;-0,48;0,74;-40,32;-5,54;-11,42;0,14;0,86;0,94;3,76;;;46,63;-18,80;0,00;935.622.614,16
VVEO3;8,15;;16,26;0,84;0,26;15,90;6,01;1,50;4,05;6,55;2,50;0,52;0,24;0,87;-0,66;2,04;5,17;1,62;9,84;0,31;0,69;1,08;;;13.125.030,82;9,69;0,50;-0,39;2.630.987.955,20
WEGE3;37,14;1,85;31,37;9,67;5,18;31,56;18,80;15,70;26,20;25,71;-0,48;-0,18;4,92;16,20;-16,71;1,86;30,82;16,52;25,44;0,54;0,45;1,05;25,71;34,19;248.320.983,14;3,84;1,18;0,78;155.888.390.445,72
WEST3;1,22;;-2,19;0,50;0,37;42,07;-38,84;-29,31;-1,65;-0,16;1,50;-0,45;0,64;0,87;-0,99;3,16;-22,68;-16,91;-28,18;0,75;0,25;0,58;367,94;;77.562,18;2,46;-0,56;-0,07;135.181.244,78
WHRL3;4,20;5,65;17,72;2,47;0,67;16,27;8,15;3,24;7,04;6,52;-0,71;-0,25;0,57;10,57;-2,33;1,10;13,92;3,75;17,70;0,27;0,73;1,16;12,32;-3,95;11.098,60;1,70;0,24;-0,52;6.477.631.015,10
WHRL4;4,55;8,23;19,19;2,67;0,72;16,27;8,15;3,24;7,63;6,52;-0,71;-0,25;0,62;11,46;-2,53;1,10;13,92;3,75;17,70;0,27;0,73;1,16;12,32;-3,95;50.527,00;1,70;0,24;-0,56;6.477.631.015,10
WIZC3;6,18;7,20;10,16;2,15;0,43;58,84;37,07;9,26;2,54;2,80;0,26;0,22;0,94;-16,96;-0,56;0,90;21,18;4,24;22,73;0,20;0,59;0,46;12,37;-9,41;2.063.271,09;2,87;0,61;-0,27;988.227.002,76
WLMM3;24,35;1,64;8,39;1,32;1,07;12,97;7,04;4,99;5,95;5,38;-0,61;-0,14;0,42;2,45;-2,45;4,54;15,77;12,80;15,79;0,81;0,19;2,56;32,16;;18.519,43;18,40;2,90;-1,23;892.054.946,00
WLMM4;24,62;1,78;8,49;1,34;1,09;12,97;7,04;4,99;6,02;5,38;-0,61;-0,14;0,42;2,48;-2,47;4,54;15,77;12,80;15,79;0,81;0,19;2,56;32,16;;105.176,45;18,40;2,90;-1,24;892.054.946,00
YDUQ3;19,97;1,38;32,82;1,91;0,63;59,29;17,03;3,75;7,22;12,09;4,87;1,29;1,23;7,09;-0,85;1,52;5,81;1,92;9,55;0,33;0,67;0,51;6,20;-15,03;66.447.986,32;10,48;0,61;-0,07;6.172.504.354,47
ZAMP3;3,97;;-9,49;0,82;0,27;65,31;2,49;-3,02;11,49;19,47;7,98;0,57;0,29;41,09;-0,35;1,03;-8,65;-2,89;2,75;0,33;0,67;0,96;15,36;;5.515.366,45;4,84;-0,42;-0,17;1.093.161.124,59
